data_name,bias1,ml_name,method_name,Intercept,bias_type
juvenile,-0.009076929136931,LogReg,multi_v2,0.591788699640335,bias two
juvenile,-0.021328005812334,Tree,mean_v1,0.555079537211516,bias two
juvenile,-0.003643175266733,Tree,mean_v2,0.586025023599984,bias two
juvenile,-0.000966030623464,Tree,similar_v1,0.653683535849024,bias two
juvenile,-0.013288098688119,Tree,similar_v2,0.663822942637495,bias two
juvenile,0.007403621736036,Tree,multi_v1,0.616421053357684,bias two
juvenile,-0.003259716222746,Tree,multi_v2,0.623961578824326,bias two
juvenile,0.00077661333082,MLP,mean_v1,0.586369906395453,bias two
juvenile,-0.008987867239986,MLP,mean_v2,0.597682480600325,bias two
juvenile,-0.003779229741687,MLP,similar_v1,0.589023837991834,bias two
juvenile,-0.007173375747599,MLP,similar_v2,0.589754925442322,bias two
juvenile,-0.015121782553644,MLP,multi_v1,0.572443118810177,bias two
juvenile,-0.019214023119209,MLP,multi_v2,0.57349976657045,bias two
compas,0.039909064750752,KNN,mean_v1,0.574867257181927,bias two
compas,-0.002194411173186,KNN,mean_v2,0.596056031387467,bias two
compas,0.056687783475349,KNN,similar_v1,0.577208634136152,bias two
compas,-0.003067090954156,KNN,similar_v2,0.595711494243975,bias two
compas,0.0501384340155,KNN,multi_v1,0.582427628553801,bias two
compas,0.047264795470676,KNN,multi_v2,0.583931527685728,bias two
compas,0.086165582786217,LinearSVC,mean_v1,0.534122658012608,bias two
compas,-0.017177169691909,LinearSVC,mean_v2,0.618080124413869,bias two
compas,0.082997986133261,LinearSVC,similar_v1,0.535627885134835,bias two
compas,-0.001649359107267,LinearSVC,similar_v2,0.599638810799409,bias two
compas,0.094745842492955,LinearSVC,multi_v1,0.525351368273308,bias two
compas,0.080011369359909,LinearSVC,multi_v2,0.545333930497029,bias two
compas,0.130892079096417,SVC,mean_v1,0.487167853376743,bias two
compas,-0.001318010565652,SVC,mean_v2,0.591395636750425,bias two
compas,0.096685944813518,SVC,similar_v1,0.524012152993401,bias two
compas,-0.000791617961262,SVC,similar_v2,0.583574749701417,bias two
compas,0.106949587605825,SVC,multi_v1,0.509979723875659,bias two
compas,0.069291712932689,SVC,multi_v2,0.532852240494885,bias two
compas,0.157061458748983,Forest,mean_v1,0.410290935892905,bias two
compas,0.003655327353049,Forest,mean_v2,0.514895678228543,bias two
compas,0.076802935872059,Forest,similar_v1,0.564685054998594,bias two
compas,0.002695776638238,Forest,similar_v2,0.627704307481524,bias two
